"key","EN","FR"
"default_text","What do you have in stock today ?","Qu'avez-vous en stock aujourd'hui ?"
"conrad_name","Conrad - Butcher","Conrad - Boucher"
"0_dialogue_conrad1","According to my neighbor, the woods are no longer safe.","Mon voisin en est temoin : Les bois ne sont"
"0_dialogue_conrad2","He saw numerous strange lights appear in the dead of","plus surs. Il a vu d'etranges lueurs apparaitre a la nuit"
"0_dialogue_conrad3","the night, not to mention a small group of women","tombee, sans compter qu'un petit groupe de femmes"
"0_dialogue_conrad4","dissapeared during the last few weeks.","a disparu au cours des dernieres semaines."
"0_dialogue_conrad5","Some say they are witches, calling out to fairies","On raconte que ce sont des sorcieres qui font appel"
"0_dialogue_conrad6","and praying to the Devil... Crazy people if you ask me.","aux fees et prient le Malin... Encore des fous."
"1_dialogue_conrad1","Have you heard the news circuling in town","Vous avez entendu la nouvelle qui court en ville"
"1_dialogue_conrad2","lately ? Apparently, the malignant is hiding","ces derniers temps ? Il paraitrait que le malin"
"1_dialogue_conrad3","in the woods... And I'm not talking about the brat","se cache dans les bois... Et je ne parle pas du"
"1_dialogue_conrad4","having fun scaring my cattle ! I'm talking about","morveux qui s'amuse a effrayer mes betes !"
"1_dialogue_conrad5","the real one. Satan himself is haunting our woods...","Je parle du vrai. Satan lui-meme hanterait nos bois..."
"1_dialogue_conrad6","Would you believe it ?","Vous y croyez, vous ?"
"blanche_name","Blanche - Innkeeper","Blanche - Taverniere"
"0_dialogue_blanche1","Have you heard of the construction of","Avez-vous deja entendu parler de la construction"
"0_dialogue_blanche2","strange objects on the town's outskirts ? ","d'etranges objets aux abords de la ville?"
"0_dialogue_blanche3","One of my neighbor told me there were talks","J'ai eu vent de la part d'un voisin qu'il etait question"
"0_dialogue_blanche4","about building long stone structures.","de construire de long edifices de pierre."
"0_dialogue_blanche5","Curious, is it not ?","Curieux, vous ne trouvez pas ?"
"1_dialogue_blanche1","That's it, the Needles have been built.","C'est bon, les Aiguilles sont sorties de terre."
"1_dialogue_blanche2","There are four of them, one for each end of town.","Elles sont au nombre de quatre, une pour chaque"
"1_dialogue_blanche3"," They're a little disgracious but anyway,","extremite de la ville. C'est quelques peu disgracieux"
"1_dialogue_blanche4","I don't live nearby.","mais qu'importe, je n'habite pas dans les environs."
"beaudoin_name","Beaudoin - Baker","Beaudoin - Boulanger"
"0_dialogue_beaudoin1","I really think we don't thank our good old abbot enough.","Je trouve qu'on ne remercie pas assez notre bon vieil abbé."
"0_dialogue_beaudoin2","We owe him this town, in which we wake up","C'est a lui qu'on doit la ville dans laquelle on se reveille"
"0_dialogue_beaudoin3","every morning. If he never settled in the St Sauveur's Abbey","tous les matins. Si il ne s'était pas installe dans l'Abbatiale"
"0_dialogue_beaudoin4","nobody would've been interested in this ","Saint Sauveur, personne ne se serait interesse a ce morceau"
"0_dialogue_beaudoin5","piece of land !","de terre !"
"1_dialogue_beaudoin1","I recently learned, it's when the Saint Sauveur's Abbey","J'ai recemment appris que c'est lorsque l'Abbatiale Saint"
"1_dialogue_beaudoin2","was built that the city started being erected. The abbot","Sauveur est sortie de terre que les premices de la ville ont"
"1_dialogue_beaudoin3","had with him a few pious followers to take care of the place,","vues le jour. L'abbe avait, avec lui, ramene quelques fervent"
"1_dialogue_beaudoin4","cultivate the land and help others with their needs.","pratiquants pour entretenir les lieux, cultiver la terre et"
"1_dialogue_beaudoin5","That's how more and more believers decided to  ","subvenir aux besoins de tous. C'est comme ca que de plus "
"1_dialogue_beaudoin6","come live here.","en plus de croyants ont decide de venir vivre ici."
"2_dialogue_beaudoin1","During a time, the abbot had the authority over the town.","Fut un temps, l'abbe avait tous les pouvoirs dans la ville. "
"2_dialogue_beaudoin2","Nowadays it's you, merchants, who holds all of the power.","Desormais c'est vous, les marchands, qui detenez les pleins"
"2_dialogue_beaudoin3","You make the city and its inhabitants live. ","pouvoirs. Vous faites vivre la ville et ses habitants."
"eulalie_name","Eulalie - Maid","Eulalie - Femme de chambre"
"0_dialogue_eulalie1","Did you know that close to the Cele, a river south of the city,","Je ne sais pas si vous etes au courant mais au bord du Cele,"
"0_dialogue_eulalie2","lies a building called Balene Palace. ",", la rivière au sud de la ville, se trouve un batiment que l'on"
"0_dialogue_eulalie3","it's an enormous building, impressive by its size and","nomme Palais Balene. C'est un superbe edifice immense, qui"
"0_dialogue_eulalie4","its ornaments. One could think this building houses numerous ","en impose de part sa taille et ses decorations. On pourrait"
"0_dialogue_eulalie5","inhabitants or that its function is strictly religious but that","s'imaginer qu'il acceuille nombre d'habitants ou que sa fonction"
"0_dialogue_eulalie6","is not the case. This building is actually house to","est religieuse mais il n'en est rien. Cet edifice est en realite la"
"0_dialogue_eulalie7","one and only man...","maison d'un seul et unique homme..."
"1_dialogue_eulalie1","The Balene Palace, the building we were talking about the other","Le Palais Balene, l'edifice dont nous parlions l'autre jour, est"
"1_dialogue_eulalie2","day, is said to be the cutting edge of comfort. That could maybe","a ce qu'on raconte, a la pointe du confort. Cela expliquerait"
"1_dialogue_eulalie3","explain why it is so ferociously fought over by the two","peut-etre pourquoi il est si sauvagement dispute par les deux"
"1_dialogue_eulalie4","brothers at its origin.","freres qui en sont a l'origine."
"2_dialogue_eulalie1","Last I heard, the two brothers fighting over Balene Palace","Aux dernieres nouvelles, les deux freres qui se disputaient "
"2_dialogue_eulalie2","are dead. Their greed pushed them to fight with swords.","le Palais Balene sont morts. Leurs avarices les auraient conduits"
"2_dialogue_eulalie3","Unfortunately, that cost the loser his life and the winner has been","a se defier a l'epee. Malheureusement, cela couta la vie au perdant"
"2_dialogue_eulalie4","sentenced to death on the motive of fratricide...","et le vainqueur fut condamne a mort pour fratricide..."
"2_dialogue_eulalie5","Therefore, duke Edward III recovered the Palace.","C'est donc le duc Edouard III qui recupera le Palais."
"foulcques_name","Foulcques - Winemaker","Foulcques - Vigneron"
"0_dialogue_foulcques1","We can't talk about Saint Sauveur's Abbey without mentioning","Impossible de parler de l'Abbatiale Saint Sauveur sans evoquer"
"0_dialogue_foulcques2","the Church of Notre-Dame-la-Fleurie ! They both form the","l'Eglise Notre-Dame-la-Fleurie ! Elles forment, avec cette derniere,"
"0_dialogue_foulcques3","two poles around which the town is developing. With their","les deux poles autour desquels la ville se developpe. De leurs"
"0_dialogue_foulcques4","majesty, they watch over the town like parents prouds to","grandeurs, elles surplombent la ville comme des parents fieres de"
"0_dialogue_foulcques5","see their children grow.","voir prosperer leurs enfants."
"1_dialogue_foulcques1","I was wondering lately, but do you know the legend behind","Je me demandais l'autre fois mais connaissez-vous la legende"
