"key","EN","FR"
"default_text","What do you have in stock today ?","Qu'avez-vous en stock aujourd'hui ?"
"0_dialogue_conrad1","According to my neighbor, the woods are no longer safe.","Mon voisin en est temoin : Les bois ne sont"
"0_dialogue_conrad2","He saw numerous strange lights appear in the dead of","plus surs. Il a vu d'etranges lueurs apparaitre a la nuit"
"0_dialogue_conrad3","the night, not to mention a small group of women","tombee, sans compter qu'un petit groupe de femmes"
"0_dialogue_conrad4","dissapeared during the last few weeks.","a disparu au cours des dernieres semaines."
"0_dialogue_conrad5","Some say they are witches, calling out to fairies","On raconte que ce sont des sorcieres qui font appel"
"0_dialogue_conrad6","and praying to the Devil... Crazy people if you ask me.","aux fees et prient le Malin... Encore des fous."
"1_dialogue_conrad1","Have you heard the news circuling in town","Vous avez entendu la nouvelle qui court en ville"
"1_dialogue_conrad2","lately ? Apparently, the malignant is hiding","ces derniers temps ? Il paraitrait que le malin"
"1_dialogue_conrad3","in the woods... And I'm not talking about the brat","se cache dans les bois... Et je ne parle pas du"
"1_dialogue_conrad4","having fun scaring my cattle ! I'm talking about","morveux qui s'amuse a effrayer mes betes !"
"1_dialogue_conrad5","the real one. Satan himself is hauting our woods...","Je parle du vrai. Satan lui-meme hanterait nos bois..."
"1_dialogue_conrad6","Would you believe it ?","Vous y croyez, vous ?"
"0_dialogue_blanche1","Have you heard of the construction of","Avez-vous deja entendu parler de la construction"
"0_dialogue_blanche2","strange objects on the town's outskirts ? ","d'etranges objets aux abords de la ville?"
"0_dialogue_blanche3","One of my neighbor told me there were talks","J'ai eu vent de la part d'un voisin qu'il etait question"
"0_dialogue_blanche4","about building long stone buildings.","de construire de long edifices de pierre."
"0_dialogue_blanche5","Curious, is it not ?","Curieux, vous ne trouvez pas ?"
"1_dialogue_blanche1","That's it, the Needles have been built.","C'est bon, les Aiguilles sont sorties de terre."
"1_dialogue_blanche2","There are four of them, one for each end of town.","Elles sont au nombre de quatre, une pour chaque"
"1_dialogue_blanche3"," They're a little disgracious but anyway,","extremite de la ville. C'est quelques peu disgracieux"
"1_dialogue_blanche4","I don't live nearby.","mais qu'importe, je n'habite pas dans les environs."
"seller_default","What would you like to buy ?","Que souhaitez-vous acheter ?"
"tut_dialogue_seller1","You can buy merchandise from me and","Vous pouvez m'acheter des marchandises"
"tut_dialogue_seller2","sell them to your clients at an higher price !","pour les revendre plus cheres a vos clients !"
